"Идентификатор";"Наименование УБИ";"Объект воздействия (источник)";"Применимость";"Тематика";"Область исключённой угрозы (анализ)";"Программный объект (анализ)";"Обоснование отбора (анализ)";"Почему не подходит для ПО (анализ)";"Условие применимости (анализ)";"Описание (источник)";"Источник угрозы";"Нарушение конфиденциальности";"Нарушение целостности";"Нарушение доступности";"Статус угрозы";"Дата включения";"Дата изменения";"Замечания";"Источник"
"УБИ.127";"Угроза подмены действия пользователя путём обмана";"Прикладное программное обеспечение, сетевое программное обеспечение";"Прямая";"Веб и сетевые сервисы";"";"Пользовательский интерфейс и подтверждение операций";"Техническая ветвь включает прозрачные кнопки и подмену надписей, то есть манипуляцию программным интерфейсом.";"";"Нарушитель может влиять на представление элементов управления; пользователь имеет права на вызываемую операцию. Чисто социальная инженерия исключена.";"Угроза заключается в возможности нарушителя выполнения неправомерных действий в системе от имени другого пользователя с помощью методов социальной инженерии (обмана пользователя, навязывание ложных убеждений) или технических методов (использование прозрачных кнопок, подмена надписей на элементах управления и др.)
Данная угроза обусловлена слабостями интерфейса взаимодействия с пользователем или ошибками пользователя.
Реализация данной угрозы возможна при условии наличия у дискредитируемого пользователя прав на проведение нужных от него нарушителю операций";"Внешний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 129"
"УБИ.128";"Угроза подмены доверенного пользователя";"Сетевой узел, сетевое программное обеспечение";"Прямая";"Доступ и учетные данные";"";"Проверка подлинности клиента при сетевом обмене";"Недостаточная аутентификация позволяет программе нарушителя выдавать себя за доверенного клиента.";"";"ПО обменивается данными от имени пользователей по сети и не обеспечивает достаточную проверку подлинности клиента.";"Угроза заключается в возможности нарушителя выдавать себя за легитимного пользователя и выполнять приём/передачу данных от его имени. Данную угрозу можно охарактеризовать как «имитация действий клиента».
Данная угроза обусловлена слабостями технологий сетевого взаимодействия, зачастую не позволяющими выполнить проверку подлинности источника/получателя информации.
Реализация данной угрозы возможна при наличии у нарушителя подключения к вычислительной сети, а также сведений о конфигурации сетевых устройств, типе используемого программного обеспечения и т.п.";"Внешний нарушитель с низким потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 130"
"УБИ.129";"Угроза подмены резервной копии программного обеспечения BIOS";"Микропрограммное и аппаратное обеспечение BIOS/UEFI";"Для отдельных классов ПО";"Поставка и обновления";"";"Резервная копия и восстановление BIOS/UEFI";"Подмена программного образа резервной копии приводит к установке вредоносного кода при восстановлении.";"";"Объект анализа — BIOS/UEFI или средство его восстановления; нарушитель может подменить резервный образ, который затем используется.";"Угроза заключается в возможности опосредованного внедрения нарушителем в BIOS/UEFI дискредитируемого компьютера вредоносного кода, путём ожидания или создания необходимости выполнения процедуры восстановления предыдущей версии программного обеспечения BIOS/UEFI, предварительно подменённой нарушителем.
Данная угроза обусловлена недостаточностью мер разграничения доступа и контроля целостности резервных копий программного обеспечения BIOS/UEFI.
Реализация данной угрозы возможна в следующих условиях:
нарушитель успешно подменил резервную копию программного обеспечения BIOS/UEFI;
возникла необходимость восстановления предыдущей версии программного обеспечения BIOS/UEFI (данное условие может произойти как случайно, так и быть спровоцировано нарушителем)";"Внутренний нарушитель с низким потенциалом";"0";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 131"
"УБИ.130";"Угроза подмены содержимого сетевых ресурсов";"Прикладное программное обеспечение, сетевое программное обеспечение, сетевой трафик";"Прямая";"Веб и сетевые сервисы";"";"Содержимое веб-ресурсов и передаваемых сообщений";"Недостаточная проверка целостности позволяет подменить страницы, письма или другие данные, обрабатываемые ПО.";"";"ПО публикует или получает сетевое содержимое; нарушитель может изменить его, а проверка подлинности недостаточна.";"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к защищаемым данным пользователей сети или проведения различных мошеннических действий путём скрытной подмены содержимого хранящихся (сайты, веб-страницы) или передаваемых (электронные письма, сетевые пакеты) по сети данных.
Данная угроза обусловлена слабостями технологий сетевого взаимодействия, зачастую не позволяющими выполнить проверку подлинности содержимого электронного сообщения.
Реализация данной угрозы возможна при условии наличия у нарушителя прав на доступ к сетевым ресурсам и отсутствии у пользователя сети мер по обеспечению их целостности";"Внешний нарушитель с низким потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 132"
"УБИ.131";"Угроза подмены субъекта сетевого доступа";"Прикладное программное обеспечение, сетевое программное обеспечение, сетевой трафик";"Прямая";"Доступ и учетные данные";"";"Проверка подлинности сервера и источника сообщений";"Подмена служебных сведений об отправителе позволяет имитировать доверенный источник данных.";"";"ПО принимает сетевые сообщения или взаимодействует с сервером без достаточной проверки подлинности источника.";"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к защищаемым данным пользователей сети или проведения различных мошеннических действий путём скрытной подмены в отправляемых дискредитируемым пользователем сетевых запросах сведений об отправителе сообщения. Данную угрозу можно охарактеризовать как «имитация действий сервера».
Данная угроза обусловлена слабостями технологий сетевого взаимодействия, зачастую не позволяющими выполнить проверку подлинности источника информации.
Реализация данной угрозы возможна при условии успешной выдачи себя нарушителем за законного отправителя (например, с помощью ложных фишинговых веб-сайтов). Ключевое отличие от «угрозы подмены содержимого сетевых ресурсов» заключается в том, что в данном случае нарушитель не изменяет оригинального содержимого электронного ресурса (веб-сайта, электронного письма), а только служебные сведения";"Внешний нарушитель со средним потенциалом";"1";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 133"
"УБИ.132";"Угроза получения предварительной информации об объекте защиты";"Сетевой узел, сетевое программное обеспечение, сетевой трафик, прикладное программное обеспечение";"Прямая";"Веб и сетевые сервисы";"";"Сообщения об ошибках и ответы сетевых интерфейсов";"Некорректные запросы раскрывают конфигурацию, трассировки стека и другие сведения о программе.";"";"Нарушитель может отправлять запросы сервису; его ответы или необработанные исключения раскрывают защищаемые сведения.";"Угроза заключается в возможности раскрытия нарушителем защищаемых сведений о состоянии защищённости дискредитируемой системы, её конфигурации и потенциальных уязвимостях и др., путём проведения мероприятий по сбору и анализу доступной информации о системе.
Данная угроза обусловлена наличием уязвимостей в сетевом программном обеспечении, позволяющим получить сведения о конфигурации отдельных программ или системы в целом (отсутствие контроля входных данных, наличие открытых сетевых портов, неправильная настройка политик безопасности и т.п.).
Реализация данной угрозы возможна при условии получения информации о дискредитируемой системе с помощью хотя бы одного из следующих способов изучения дискредитируемой системы:
анализ реакций системы на сетевые (в т.ч. синтаксически неверные или нестандартные) запросы к открытым в системе сетевым сервисам, которые могут стать причиной вызова необработанных исключений с подробными сообщениями об ошибках, содержащих защищаемую информацию (о трассировке стека, о конфигурации системы, о маршруте прохождения сетевых пакетов)
анализ реакций системы на строковые URI-запросы (в т.ч. неверные SQL-запросы, альтернативные пути доступа к файлам).
Данная угроза отличается от угрозы перехвата данных и других угроз сбора данных тем, что нарушитель активно опрашивает дискредитируемую систему, а не просто за ней наблюдает";"Внешний нарушитель со средним потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 134"
"УБИ.135";"Угроза потери и утечки данных, обрабатываемых в облаке";"Системное программное обеспечение, метаданные, объекты файловой системы";"Для отдельных классов ПО";"Данные и файлы";"";"Данные и программные механизмы защиты облачного сервиса";"Ошибки настройки программной защиты облачных данных могут нарушить их конфиденциальность, целостность и доступность.";"";"ПО является облачным сервисом и отвечает за защиту данных; рассматриваются ошибки его механизмов или настроек защиты.";"Угроза заключается в возможности нарушения конфиденциальности, целостности и доступности защищаемой информации потребителей облачных услуг, обрабатываемой в облачной системе.
Данная угроза обусловлена слабостями мер защиты информации, обрабатываемой в облачной системе.
Реализация данной угрозы возможна в случае допущения поставщиком (некорректный выбор или настройка средств защиты) или потребителем (потеря пароля, электронного ключа, вход с небезопасной консоли) облачных услуг ошибок при обеспечении безопасности защищаемой информации";"Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 137"
"УБИ.136";"Угроза потери информации вследствие несогласованности работы узлов хранилища больших данных";"Информационная система, узлы хранилища больших данных";"Для отдельных классов ПО";"Данные и файлы";"";"Репликация распределённого хранилища больших данных";"Слабости программного механизма репликации приводят к ошибкам копирования и потере доступности данных.";"";"ПО реализует распределённое хранилище больших данных; узлы отключаются, отказывают или работают несогласованно.";"Угроза заключается в возможности допуска ошибок при копировании защищаемой информации при распределённом хранении данных на различных узлах хранилища больших данных вследствие несогласованности их работы, влекущих за собой невозможность осуществления легальным пользователем доступа к блокам или ко всей защищаемой информации.
Данная угроза обусловлена слабостями механизмов репликации данных, реализованных в узлах хранилища больших данных.
Реализация данной угрозы возможна в условиях отключения или выведения из строя одного или нескольких узлов за счёт специальных программных воздействий на узлы хранилища больших данных, а также возникновения технических или программных сбоев в работе их компонентов";"Внутренний нарушитель с низким потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 138"
"УБИ.140";"Угроза приведения системы в состояние «отказ в обслуживании»";"Информационная система, сетевой узел, системное программное обеспечение, сетевое программное обеспечение, сетевой трафик, телекоммуникационное устройство";"Прямая";"Веб и сетевые сервисы";"";"Обработка сетевых запросов и управление соединениями";"Исчерпание ресурсов обработчика запросов и ошибки реализации протоколов нарушают доступность сетевого ПО.";"";"ПО принимает сетевые соединения; поток запросов превышает доступные ресурсы либо использует ошибку реализации протокола.";"Угроза заключается в возможности отказа дискредитированной системой в доступе легальным пользователям при лавинообразном увеличении числа сетевых соединений с данной системой или при использовании недостатков реализации сетевых протоколов.
Данная угроза обусловлена тем, что для обработки каждого сетевого запроса системой потребляется часть её ресурсов, а также слабостями сетевых технологий, связанными с ограниченностью скорости обработки потоков сетевых запросов, и недостаточностью мер контроля за управлением соединениями и ошибками реализации сетевых протоколов.
Реализация данной угрозы возможна при условии превышения объёма запросов над объёмами доступных для их обработки ресурсов дискредитируемой системы или наличия ошибок реализации сетевых протоколов (например, формирование IP-адреса версии 6 на основе MAC-адреса, определение доступности IP-адреса, использование функции контроля целостности PPP-интерфейса и др.)";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-12 00:00:00";"";"thrlist.xlsx · Sheet · строка 142"
"УБИ.143";"Угроза программного выведения из строя средств хранения, обработки и (или) ввода/вывода/передачи информации";"Носитель информации, микропрограммное обеспечение, аппаратное обеспечение, телекоммуникационное устройство";"Для отдельных классов ПО";"Системное ПО";"";"Микропрограммное обеспечение устройств обработки, хранения и ввода-вывода";"Одна из прямо названных причин — уязвимость микропрограммы, на которую воздействуют командами или специально сформированными данными. Включена только эта программная ветвь отказа.";"";"Объект анализа — сама прошивка устройства; нарушитель может передать ей команды или входные данные, вызывающие отказ через её уязвимость. Воздействие только на предельные аппаратные режимы, износ и физическое повреждение исключены.";"Угроза заключается в возможности прерывания нарушителем технологии обработки информации в дискредитируемой системе путём осуществления деструктивного программного (локально или удалённо) воздействия на средства хранения (внешних, съёмных и внутренних накопителей), обработки (процессора, контроллера устройств и т.п.) и (или) ввода/вывода/передачи информации (клавиатуры и др.), в результате которого объект защиты перейдёт в состояние «отказ в обслуживании». При этом вывод его из этого состояния может быть невозможен путём перезагрузки системы, а потребует проведения ремонтно-восстановительных работ.
Данная угроза обусловлена наличием уязвимостей микропрограммного обеспечения средств хранения, обработки и (или) ввода/вывода/передачи информации, а также невозможности длительного нахождения средств хранения, обработки и (или) ввода/вывода/передачи информации в режиме предельно допустимых значений (частота системной шины, центрального процессора, количества обращений на чтение и/или запись и другие параметры).
Реализация данной угрозы возможна при наличии у нарушителя прав на отправку команды или специально сформированных входных данных на средства хранения, обработки и (или) ввода/вывода/передачи информации";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-12 00:00:00";"";"thrlist.xlsx · Sheet · строка 145"
"УБИ.144";"Угроза программного сброса пароля BIOS";"Микропрограммное обеспечение BIOS/UEFI, системное программное обеспечение";"Для отдельных классов ПО";"Системное ПО";"";"Программный интерфейс сброса пароля BIOS/UEFI";"Недостаточное ограничение доступа к функции сброса позволяет обойти аутентификацию микропрограммы.";"";"BIOS/UEFI предоставляет сброс пароля из ОС; нарушитель может вызвать этот интерфейс специальной программой.";"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к настройкам BIOS/UEFI после перезагрузки компьютера путём ввода «пустого» пароля.
Данная угроза обусловлена слабостями мер разграничения доступа в операционной системе к функции сброса пароля BIOS/UEFI.
Реализация данной угрозы возможна при условиях:
наличия в программном обеспечении BIOS/UEFI активного интерфейса функции программного сброса пароля непосредственно из-под операционной системы;
наличия у нарушителя специальных программных средств, реализующих сброс пароля, а также прав в операционной системе для установки и запуска данных средств";"Внутренний нарушитель с низким потенциалом";"1";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 146"
"УБИ.145";"Угроза пропуска проверки целостности программного обеспечения";"Системное программное обеспечение, прикладное программное обеспечение, сетевое программное обеспечение";"Прямая";"Поставка и обновления";"";"Проверка источника и целостности устанавливаемого ПО";"Подмена источника загрузки или обновления приводит к установке вредоносного кода при недостаточной проверке.";"";"ПО загружается, устанавливается или обновляется из сети; источник либо маршрут получения можно подменить, а проверка подлинности недостаточна.";"Угроза заключается в возможности внедрения нарушителем в дискредитируемую систему вредоносного программного обеспечения путём обманного перенаправления запросов пользователя или его программ на собственный сетевой ресурс, содержащий вредоносное программное обеспечение, для его «ручной» или «автоматической» загрузки с последующей установкой в дискредитируемую систему от имени пользователя или его программ.
Данная угроза обусловлена слабостями механизмов проверки целостности файлов программного обеспечения и/или проверки подлинности источника их получения.
Реализация данной угрозы возможна при условии успешного использования обманных техник одного из следующих методов:
«ручного метода» – нарушитель, используя обманные механизмы, убеждает пользователя перейти по ссылке на сетевой ресурс нарушителя, что приводит к запуску вредоносного кода на компьютере пользователя, или убеждает пользователя самостоятельно загрузить и установить вредоносную программу (например, под видом игры или антивирусного средства);
«автоматического метода» – нарушитель осуществляет деструктивное воздействие переадресацию функции автоматического обновления дискредитируемой программы на собственный вредоносный сервер";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 147"
"УБИ.146";"Угроза прямого обращения к памяти вычислительного поля суперкомпьютера";"Вычислительные узлы суперкомпьютера, каналы передачи данных суперкомпьютера, системное программное обеспечение";"Для отдельных классов ПО";"Системное ПО";"";"Программная реализация и контроль протокола удалённого прямого доступа к памяти суперкомпьютера";"Причина угрозы — слабости протокола доступа к памяти удалённого параллельного процесса; исходный объект воздействия включает системное ПО. Применима программная часть реализации и контроля этого протокола, через которую нарушается изоляция памяти.";"";"Анализируется системное ПО суперкомпьютера, реализующее или контролирующее операции удалённого прямого доступа к памяти. Процесс нарушителя получил доступ к входным или выходным данным параллельных процессов и использует слабость протокола для чтения чужой памяти. Чисто аппаратный дефект без программной части в эту ветвь не входит.";"Угроза заключается в возможности осуществления процессом нарушителя, функционирующем в вычислительном поле суперкомпьютера, считывания защищаемых данных из оперативной памяти, выделенной для параллельного (дискредитируемого) процесса, с использованием операций удалённого прямого доступа к памяти.
Данная угроза обусловлена слабостями протокола прямого доступа к оперативной памяти, с помощью которого выполняется обращение к сегменту памяти, выделенному для удалённого параллельного процесса, функционирующего в вычислительном поле суперкомпьютера.
Реализация данной угрозы возможна при условии успешного осуществления нарушителем доступа к входным/выходным данным параллельных процессов в вычислительном поле суперкомпьютера";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 148"
"УБИ.147";"Угроза распространения несанкционированно повышенных прав на всю грид-систему";"Ресурсные центры грид-системы, узлы грид-системы, грид-система, сетевое программное обеспечение";"Для отдельных классов ПО";"Доступ и учетные данные";"";"Клиентское и связующее ПО распределённой авторизации грид-системы";"Источник прямо указывает уязвимости клиентского ПО и слабости назначения прав, реализованные в связующем ПО. Программный механизм — неправомерное распространение привилегий.";"";"Анализируется грид-клиент или связующее ПО, реализующее распределённое назначение прав. Нарушитель уже повысил привилегии на одном узле, и программный механизм распространяет их на другие. Для произвольного приложения этот сценарий не применяется.";"Угроза заключается в возможности автоматического распространения на всю грид-систему несанкционированно полученных нарушителем на одном узле привилегий.
Данная угроза обусловлена наличием уязвимостей в клиентском программном обеспечении грид-системы и слабостями в механизме назначения прав пользователям, реализованном в связующем программном обеспечении.
Реализация данной угрозы возможна при условии успешного повышения нарушителем своих прав на одном узле грид-системы";"Внутренний нарушитель со средним потенциалом";"1";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 149"
"УБИ.148";"Угроза сбоя автоматического управления системой разграничения доступа хранилища больших данных";"Информационная система, система разграничения доступа хранилища больших данных";"Для отдельных классов ПО";"Доступ и учетные данные";"";"Автоматическое назначение прав хранилища больших данных";"Ошибки назначения и наследования полномочий непосредственно затрагивают программную авторизацию.";"";"ПО реализует хранилище больших данных с автоматическим управлением многочисленными учётными записями.";"Угроза заключается в возможности возникновения ситуаций, связанных c ошибками автоматического назначения пользователям прав доступа (наделение дополнительными полномочиями, ошибочное наследование, случайное восстановление «неактивных» учётных записей т.п.).
Данная угроза обусловлена слабостями мер контроля за большим количеством (от тысячи, а в некоторых случаях и до нескольких миллионов) учётных записей пользователей со стороны администраторов безопасности.
Реализация данной угрозы возможна при условии возникновения сбоев или ошибок в работе системы разграничения доступа хранилища больших данных";"";"1";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 150"
"УБИ.149";"Угроза сбоя обработки специальным образом изменённых файлов";"Метаданные, объекты файловой системы, системное программное обеспечение";"Прямая";"Код и выполнение";"";"Разбор файлов и метаданных приложением";"Специально изменённые файлы вызывают сбой и позволяют выполнять неправомерные действия от имени приложения.";"";"ПО обрабатывает файлы или их метаданные с недостаточной проверкой целостности и корректности. Нарушителю известны значения, вызывающие сбой, и в системе уже создан механизм перехвата управления обработкой этого сбоя.";"Угроза заключается в возможности осуществления нарушителем различных неправомерных действий от имени дискредитированных приложений путём вызова сбоя в их работе за счёт внесения изменений в обрабатываемые дискредитируемыми программами файлы или их метаданные.
Данная угроза обусловлена слабостями механизма проверки целостности обрабатываемых файлов и корректности, содержащихся в них данных.
Реализация данной угрозы возможна в условиях:
наличия у нарушителя сведений о форматах и значениях файлов, вызывающих сбой функционирования дискредитированных приложений при их обработке;
успешно созданном в дискредитируемой системе механизме перехвата управления над обработкой нарушителем программного сбоя";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 151"
"УБИ.150";"Угроза сбоя процесса обновления BIOS";"Микропрограммное и аппаратное обеспечение BIOS/UEFI, каналы связи";"Для отдельных классов ПО";"Поставка и обновления";"";"Обновление микропрограмм BIOS/UEFI";"Недостатки проверки целостности, совместимости или процесса установки вносят критические ошибки в код микропрограммы.";"";"Анализируется BIOS/UEFI или средство его обновления; выполняется установка обновления.";"Угроза заключается в возможности выведения из строя компьютера из-за внесения критических ошибок в программное обеспечение BIOS/UEFI в результате нарушения процесса его обновления.
Данная угроза обусловлена слабостями технологий контроля за обновлением программного обеспечения BIOS/UEFI.
Реализация данной угрозы возможна в ходе проведения ремонта и обслуживания компьютера как при установке корректной/совместимой версии обновления (из-за сбоев, помех и т.п.), так и при установке повреждённой/несовместимой версии обновления (из-за отсутствия механизма проверки целостности и совместимости)";"Внутренний нарушитель со средним потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-11 00:00:00";"";"thrlist.xlsx · Sheet · строка 152"
